source	locator	text
data/campaign_days.json	$.day_6.enemy_plan[0].timing	0~10초
data/campaign_days.json	$.day_6.enemy_plan[0].purpose	초반 시야 교란
data/campaign_days.json	$.day_6.enemy_plan[1].timing	12~22초
data/campaign_days.json	$.day_6.enemy_plan[1].purpose	보물 방 침투 압력
data/campaign_days.json	$.day_6.management_lines[0]	니아: 오늘의 보안 평점은 보물 방이 얼마나 빨리 비는지로 매길게.
data/campaign_days.json	$.day_6.management_lines[1]	골딘: 평점보다 금화 잔액이 더 중요한 지표입니다.
data/campaign_days.json	$.day_6.management_lines[2]	바티: 보물 방 주변에 병력이나 감시 초소를 붙여두는 편이 좋습니다.
data/campaign_days.json	$.day_6.combat_start_lines[0]	니아: 자, 보물 방 문이 잠겨 있는지부터 확인해볼까?
data/campaign_days.json	$.day_6.image_notes[0]	CHR_THIEF_NIA portrait teasing variant generated for the security-auditor beat.
data/campaign_days.json	$.day_6.image_notes[1]	CHR_GOLDIN portrait accounting variant generated for treasury loss commentary.
data/campaign_days.json	$.day_7.title	DAY 07 첫 시설 강화 상담
data/campaign_days.json	$.day_7.summary	골딘과 바티가 시설 1개를 강화하라고 권합니다. 선택한 시설은 Lv.2가 되어 체력과 배치 한도가 오릅니다.
data/campaign_days.json	$.day_7.management_hint	오른쪽 선택 방 패널의 시설 강화 버튼으로 시설 1개를 Lv.2까지 올릴 수 있습니다.
data/campaign_days.json	$.day_7.balance_goal	시설 강화 직후 체감할 수 있도록 탐험가와 도둑을 섞되, DAY 06보다 약간만 강하게 둡니다.
data/campaign_days.json	$.day_7.cast[0].timing	관리 시작
data/campaign_days.json	$.day_7.cast[0].purpose	강화 비용 상담
data/campaign_days.json	$.day_7.cast[1].timing	관리 시작
data/campaign_days.json	$.day_7.cast[1].purpose	강화 추천
data/campaign_days.json	$.day_7.enemy_plan[0].timing	0~18초
data/campaign_days.json	$.day_7.enemy_plan[0].purpose	주 경로 압박
data/campaign_days.json	$.day_7.enemy_plan[1].timing	14~24초
data/campaign_days.json	$.day_7.enemy_plan[1].purpose	강화 시설 배치 검증
data/campaign_days.json	$.day_7.management_lines[0]	골딘: 금화 90, 마력 30이면 시설 하나를 당장 강화할 수 있습니다.
data/campaign_days.json	$.day_7.management_lines[1]	바티: 병영은 가장 안정적이고, 감시 초소는 도둑 대응이 빠릅니다. 회복 둥지는 긴 전투에 맞습니다.
data/campaign_days.json	$.day_7.combat_start_lines[0]	바티: 강화한 시설의 위치가 오늘 방어 결과를 가를 겁니다.
data/campaign_days.json	$.day_7.image_notes[0]	Goldin accounting portrait is reused for the first upgrade consultation.
data/campaign_days.json	$.day_8.title	DAY 08 성장의 예고
data/campaign_days.json	$.day_8.summary	첫 주를 넘긴 뒤 푸딩, 고브, 핀이 다음 성장 단계의 징후를 보인다. 로로는 방어전 투입 대신 정찰 지원으로 남는다.
data/campaign_days.json	$.day_8.management_hint	성장 예고를 확인하고 배치하세요. 로로는 아직 방어전 애니메이션 자산이 부족하므로 원정/정찰 지원으로만 운용합니다.
data/campaign_days.json	$.day_8.balance_goal	DAY 07과 비슷한 압박을 유지하되 성장 정보를 읽을 여유를 남긴다. 총 5명, 도둑은 1명만 후반에 투입한다.
data/campaign_days.json	$.day_8.monster_plan[0].timing	관리 시작
data/campaign_days.json	$.day_8.monster_plan[0].purpose	푸딩의 탱커 성장 예고
data/campaign_days.json	$.day_8.monster_plan[1].timing	관리 시작
data/campaign_days.json	$.day_8.monster_plan[1].purpose	고브의 추격 역할 강조
data/campaign_days.json	$.day_8.monster_plan[2].timing	관리 시작
data/campaign_days.json	$.day_8.monster_plan[2].purpose	핀의 화력 성장 예고
data/campaign_days.json	$.day_8.monster_plan[3].timing	정찰 보고
data/campaign_days.json	$.day_8.monster_plan[3].purpose	로로는 방어전 배치 전까지 원정/정찰 지원으로 제한
data/campaign_days.json	$.day_8.cast[0].timing	관리 시작
data/campaign_days.json	$.day_8.cast[0].purpose	성장 징후 반응
data/campaign_days.json	$.day_8.cast[1].timing	관리 시작
data/campaign_days.json	$.day_8.cast[1].purpose	추격 역할 강조
data/campaign_days.json	$.day_8.cast[2].timing	관리 시작
data/campaign_days.json	$.day_8.cast[2].purpose	추가 몬스터 운용 범위 안내
data/campaign_days.json	$.day_8.enemy_plan[0].timing	0~16초
data/campaign_days.json	$.day_8.enemy_plan[0].purpose	성장 확인용 기본 압박
data/campaign_days.json	$.day_8.enemy_plan[1].timing	20초
data/campaign_days.json	$.day_8.enemy_plan[1].purpose	후반 보물 압박을 한 번만 상기
data/campaign_days.json	$.day_8.management_lines[0]	푸딩: 몸이 조금 단단해진 것 같아요. 다음엔 입구를 더 오래 막을 수 있을지도요.
data/campaign_days.json	$.day_8.management_lines[1]	고브: 그럼 난 더 빨리 따라붙으면 되지? 성장하면 도망가는 녀석부터 잡는다!
data/campaign_days.json	$.day_8.management_lines[2]	로로: 나는 아직 정규 방어전 투입보다 정찰이 맞아. 지도와 소문은 맡겨 둬.
data/campaign_days.json	$.day_8.combat_start_lines[0]	바티: 오늘은 성장 확인이 우선입니다. 후반 도둑 하나만 놓치지 않으면 됩니다.
data/campaign_days.json	$.day_8.result_lines[0]	성장 예고: 푸딩, 고브, 핀의 다음 역할을 확인했다. (growth_preview)
data/campaign_days.json	$.day_8.result_lines[1]	몬스터 운용: 로로는 방어전 배치 전까지 원정/정찰 지원으로 유지한다.
data/campaign_days.json	$.day_8.image_notes[0]	No new monster combat asset was generated. Rolo has only a single idle source, so he remains raid/scout support for this pass.
data/campaign_days.json	$.day_9.title	DAY 09 왕국 조사관
data/campaign_days.json	$.day_9.summary	왕국이 단순 탐험가 대신 조사관 아이리스를 보낸다. 적은 길과 방 배치를 읽기 시작한다.
data/campaign_days.json	$.day_9.management_hint	신규 적 클래스 왕국 조사관이 등장합니다. 탐험가보다 단단하고 목표는 왕좌입니다. 주 경로의 병영과 감시 초소 배치를 확인하세요.
data/campaign_days.json	$.day_9.balance_goal	신규 적을 가르치는 날이다. 조사관은 1명만 등장시키고 탐험가/도둑으로 혼합 압박을 만든다.
data/campaign_days.json	$.day_9.monster_plan[0].timing	전열
data/campaign_days.json	$.day_9.monster_plan[0].purpose	조사관을 주 경로에서 붙잡기
data/campaign_days.json	$.day_9.monster_plan[1].timing	중반
data/campaign_days.json	$.day_9.monster_plan[1].purpose	도둑 추격과 조사관 마무리
data/campaign_days.json	$.day_9.monster_plan[2].timing	중후반
data/campaign_days.json	$.day_9.monster_plan[2].purpose	탐험가 무리 화력 처리
data/campaign_days.json	$.day_9.cast[0].timing	관리 시작/전투 중반
data/campaign_days.json	$.day_9.cast[0].purpose	신규 조사관 적 클래스 소개
data/campaign_days.json	$.day_9.cast[1].timing	관리 시작
data/campaign_days.json	$.day_9.cast[1].purpose	길 분석 경고
data/campaign_days.json	$.day_9.cast[2].timing	전투 시작
data/campaign_days.json	$.day_9.cast[2].purpose	왕국 조사 분위기 보조
data/campaign_days.json	$.day_9.enemy_plan[0].timing	0~9초
data/campaign_days.json	$.day_9.enemy_plan[0].purpose	기본 주 경로 압박
data/campaign_days.json	$.day_9.enemy_plan[1].timing	11초
data/campaign_days.json	$.day_9.enemy_plan[1].purpose	신규 적 클래스 소개
data/campaign_days.json	$.day_9.enemy_plan[2].timing	19~26초
data/campaign_days.json	$.day_9.enemy_plan[2].purpose	조사관 이후 보물 압박
data/campaign_days.json	$.day_9.management_lines[0]	아이리스: 이 성의 방 배치는 우연이 아니군요. 전열과 보물 방 사이의 흐름을 기록하겠습니다.
data/campaign_days.json	$.day_9.management_lines[1]	바티: 조사관은 탐험가보다 오래 버팁니다. 주 경로에서 붙잡고 후방 도둑을 따로 처리하세요.
data/campaign_days.json	$.day_9.combat_start_lines[0]	아이리스: 입구, 병영, 왕좌. 방어선의 의도가 보입니다.
data/campaign_days.json	$.day_9.combat_start_lines[1]	바티: 조사관 1명, 도둑 2명입니다. 오늘은 배치가 흐트러지면 바로 티가 납니다.
data/campaign_days.json	$.day_9.result_lines[0]	신규 적 확인: 왕국 조사관은 왕좌를 목표로 움직이며 탐험가보다 오래 버틴다. (investigator_class)
data/campaign_days.json	$.day_9.image_notes[0]	CHR_INVESTIGATOR_IRIS portrait and enemy_investigator combat sprite frames were generated for this pass.
data/campaign_days.json	$.day_10.title	DAY 10 길드 게시판의 이름
data/campaign_days.json	$.day_10.summary	마왕성의 이름이 길드 게시판에 오른다. 조사관의 보고 뒤 수련생 용사가 다시 강한 압박으로 들어온다.
data/campaign_days.json	$.day_10.management_hint	1장 마감 전투입니다. 조사관과 도둑, 수련생 용사가 섞여 나오지만 게임 승리 상태로 끝내지 않고 다음 장 준비 상태로 이어집니다.
data/campaign_days.json	$.day_10.balance_goal	DAY 08~09에서 배운 성장/배치/혼합 압박을 한 번에 확인한다. 총 6명, 마지막 수련생 용사가 클라이맥스다.
data/campaign_days.json	$.day_10.monster_plan[0].timing	초반
data/campaign_days.json	$.day_10.monster_plan[0].purpose	탐험가 전열 유지
data/campaign_days.json	$.day_10.monster_plan[1].timing	중반
data/campaign_days.json	$.day_10.monster_plan[1].purpose	도둑 차단
data/campaign_days.json	$.day_10.monster_plan[2].timing	후반
data/campaign_days.json	$.day_10.monster_plan[2].purpose	조사관/용사 화력 지원
data/campaign_days.json	$.day_10.monster_plan[3].timing	결과
data/campaign_days.json	$.day_10.monster_plan[3].purpose	길드 게시판 정보 수집
data/campaign_days.json	$.day_10.cast[0].timing	관리 시작
data/campaign_days.json	$.day_10.cast[0].purpose	1장 마감 경고
data/campaign_days.json	$.day_10.cast[1].timing	관리 시작
data/campaign_days.json	$.day_10.cast[1].purpose	조사 보고 후속 압박
data/campaign_days.json	$.day_10.cast[2].timing	전투 후반
data/campaign_days.json	$.day_10.cast[2].purpose	클라이맥스 압박
data/campaign_days.json	$.day_10.enemy_plan[0].timing	0~9초
data/campaign_days.json	$.day_10.enemy_plan[0].purpose	기본 전열 압박
data/campaign_days.json	$.day_10.enemy_plan[1].timing	12초
data/campaign_days.json	$.day_10.enemy_plan[1].purpose	조사 보고 후속 확인
data/campaign_days.json	$.day_10.enemy_plan[2].timing	20초
data/campaign_days.json	$.day_10.enemy_plan[2].purpose	보물 방 교란
data/campaign_days.json	$.day_10.enemy_plan[3].timing	30초
data/campaign_days.json	$.day_10.enemy_plan[3].purpose	1장 마감 클라이맥스
data/campaign_days.json	$.day_10.management_lines[0]	바티: 길드 게시판에 우리 성 이름이 올라갔습니다. 이제 우연히 찾아오는 손님이 아닙니다.
data/campaign_days.json	$.day_10.management_lines[1]	아이리스: 조사 보고는 제출했습니다. 다음은 공식 토벌 절차겠군요.
data/campaign_days.json	$.day_10.management_lines[2]	레온: 이번엔 길을 보고 들어가겠습니다. 지난번처럼 헤매지는 않아요.
data/campaign_days.json	$.day_10.combat_start_lines[0]	바티: 오늘을 넘기면 1장은 정리됩니다. 단, 전쟁은 이제 막 알려졌을 뿐입니다.
data/campaign_days.json	$.day_10.result_lines[0]	1장 클리어: 마왕성의 이름이 길드 게시판에 올랐다. (chapter_one_clear)
data/campaign_days.json	$.day_10.result_lines[1]	다음 장 준비: 왕국은 성의 구조와 몬스터 성장을 의식하기 시작했다.
data/campaign_days.json	$.day_10.image_notes[0]	DAY 10 reuses CHR_HERO_LEON and trainee_hero assets for scope control. No separate guild champion class was added.
data/campaign_days.json	$.day_11.title	DAY 11 왕국 경고문
data/campaign_days.json	$.day_11.summary	길드 게시판 사건 뒤 왕국이 공식 경고문을 붙인다. 침입자는 더 체계적으로 길과 보물 방을 확인하기 시작한다.
data/campaign_days.json	$.day_11.management_hint	2장 시작 전투입니다. 새 비주얼 스테이지로 전환하지 않고, 기존 성에서 왕국의 공식 대응만 먼저 보여줍니다.
data/campaign_days.json	$.day_11.balance_goal	DAY 10보다 약간 짧게 재정렬한다. 총 7명, 조사관 1명과 도둑 2명으로 배치와 보물 방 대응을 다시 시험한다.
data/campaign_days.json	$.day_11.monster_plan[0].timing	초반
data/campaign_days.json	$.day_11.monster_plan[0].purpose	탐험가 전열 지연
data/campaign_days.json	$.day_11.monster_plan[1].timing	중반
data/campaign_days.json	$.day_11.monster_plan[1].purpose	도둑 추격
data/campaign_days.json	$.day_11.monster_plan[2].timing	후반
data/campaign_days.json	$.day_11.monster_plan[2].purpose	조사관과 후속 전열 정리
data/campaign_days.json	$.day_11.monster_plan[3].timing	관리 시작
data/campaign_days.json	$.day_11.monster_plan[3].purpose	왕국 경고문 정찰 보고. 방어 배치는 계속 보류
data/campaign_days.json	$.day_11.cast[0].timing	관리 시작
data/campaign_days.json	$.day_11.cast[0].purpose	공식 경고문 해석
data/campaign_days.json	$.day_11.cast[1].timing	전투 중반
data/campaign_days.json	$.day_11.cast[1].purpose	왕국 기록관 분위기 유지
data/campaign_days.json	$.day_11.cast[2].timing	관리 시작
data/campaign_days.json	$.day_11.cast[2].purpose	정찰 지원 전용 상태 재확인
data/campaign_days.json	$.day_11.enemy_plan[0].timing	0~14초
data/campaign_days.json	$.day_11.enemy_plan[0].purpose	공식 토벌 전 사전 확인대
data/campaign_days.json	$.day_11.enemy_plan[1].timing	15초
data/campaign_days.json	$.day_11.enemy_plan[1].purpose	경고문 이후 구조 재확인
data/campaign_days.json	$.day_11.enemy_plan[2].timing	24~31초
data/campaign_days.json	$.day_11.enemy_plan[2].purpose	보물 방 위치 검증
data/campaign_days.json	$.day_11.management_lines[0]	바티: 왕국 경고문입니다. 표현은 점잖지만, 내용은 토벌 준비가 시작됐다는 뜻입니다.
data/campaign_days.json	$.day_11.management_lines[1]	로로: 게시판 뒤쪽에 경고문 사본이 붙었어. 정찰은 내가 계속 돌게. 방어전은 아직 무리야.
data/campaign_days.json	$.day_11.management_lines[2]	바티: 성의 모양을 바꾸는 건 아직 이릅니다. 오늘은 기존 구조로 공식 대응을 받아냅니다.
data/campaign_days.json	$.day_11.combat_start_lines[0]	아이리스: 경고문 이후 첫 확인입니다. 입구, 병영, 보물 방 순서로 기록하겠습니다.
data/campaign_days.json	$.day_11.result_lines[0]	2장 시작: 왕국은 마왕성을 공식 위협 후보로 기록했다. (chapter_two_started)
data/campaign_days.json	$.day_11.result_lines[1]	자산 결정: DAY 11은 기존 성/적/초상 자산을 재사용하고 Stage 02 비주얼 전환은 보류한다.
data/campaign_days.json	$.day_11.image_notes[0]	No new art was generated for DAY 11. Bati, Rolo, Iris, explorer, thief, and investigator assets are reused deliberately.
data/campaign_days.json	$.day_11.image_notes[1]	Stage 02 visual conversion is deferred until room/path art is approved and imported.
data/campaign_days.json	$.day_12.title	DAY 12 첫 승급 선택
data/campaign_days.json	$.day_12.summary	푸딩, 고브, 핀 중 한 명이 2장 첫 승급 후보가 된다. 승급은 아직 형태를 바꾸지 않고 역할과 수치만 올린다.
data/campaign_days.json	$.day_12.management_hint	몬스터 관리에서 Lv.3 이상 몬스터를 골라 첫 승급을 실행하세요. DAY 11 직후라면 훈련 1회로 Lv.3에 도달할 수 있습니다.
data/campaign_days.json	$.day_12.balance_goal	진화 계획표의 첫 플레이어블 범위다. 2장에서는 승급 1명을 기대하고, 적은 HP만 올리지 않고 조사관/도둑/수련생 용사를 섞어 역할 대응을 확인한다.
data/campaign_days.json	$.day_12.monster_plan[0].timing	승급 선택
data/campaign_days.json	$.day_12.monster_plan[0].purpose	성문 방벽 푸딩은 DAY12 기준선 승급. 전열 안정화와 입구 지연 담당
data/campaign_days.json	$.day_12.monster_plan[1].timing	승급 선택
data/campaign_days.json	$.day_12.monster_plan[1].purpose	매복대장 고브는 도둑 대응 승급. 보물 방 압박을 줄이는 선택지
data/campaign_days.json	$.day_12.monster_plan[2].timing	승급 선택
data/campaign_days.json	$.day_12.monster_plan[2].purpose	화염 숙련자 핀은 조사관/탐험가 정리 승급. 전열 대체가 아닌 화력 보조
data/campaign_days.json	$.day_12.monster_plan[3].timing	정찰 보고
data/campaign_days.json	$.day_12.monster_plan[3].purpose	로로는 승급 재료 단서만 제공하고 방어 배치는 계속 보류
data/campaign_days.json	$.day_12.cast[0].timing	관리 시작
data/campaign_days.json	$.day_12.cast[0].purpose	첫 승급 규칙 안내
data/campaign_days.json	$.day_12.cast[1].timing	승급 후보
data/campaign_days.json	$.day_12.cast[1].purpose	전열 승급 대표
data/campaign_days.json	$.day_12.cast[2].timing	승급 후보
data/campaign_days.json	$.day_12.cast[2].purpose	추격 승급 대표
data/campaign_days.json	$.day_12.cast[3].timing	승급 후보
data/campaign_days.json	$.day_12.cast[3].purpose	화력 승급 대표
data/campaign_days.json	$.day_12.enemy_plan[0].timing	0~13초
data/campaign_days.json	$.day_12.enemy_plan[0].purpose	승급 전열 체감용 기본 압박
data/campaign_days.json	$.day_12.enemy_plan[1].timing	15초
data/campaign_days.json	$.day_12.enemy_plan[1].purpose	방 배치 분석 압박 유지
data/campaign_days.json	$.day_12.enemy_plan[2].timing	34~43초
data/campaign_days.json	$.day_12.enemy_plan[2].purpose	고브 승급 선택지도 의미 있게 만드는 보물 방 압박
data/campaign_days.json	$.day_12.enemy_plan[3].timing	50초
data/campaign_days.json	$.day_12.enemy_plan[3].purpose	승급 1명 체감 검증용 약한 후반 압박
data/campaign_days.json	$.day_12.management_lines[0]	바티: 2장부터는 몬스터 하나를 먼저 승급시킬 수 있습니다. 아직 형태 변화는 보류하고, 역할과 수치만 올립니다.
data/campaign_days.json	$.day_12.management_lines[1]	푸딩: 입구를 더 오래 막을 수 있다면 먼저 서볼게요.
data/campaign_days.json	$.day_12.management_lines[2]	고브: 도둑 잡는 일이라면 내가 빠질 수 없지.
data/campaign_days.json	$.day_12.management_lines[3]	핀: 조사관이 또 온다면 이번엔 불길로 기록지를 태워버릴게.
data/campaign_days.json	$.day_12.combat_start_lines[0]	바티: 오늘은 승급 1명을 기준으로 압박이 들어옵니다. 전열, 추격, 화력 중 무엇을 골랐는지 결과가 갈릴 겁니다.
data/campaign_days.json	$.day_12.result_lines[0]	첫 승급 해금: 몬스터 승급은 1단계 역할 강화로 시작한다. (first_promotion)
data/campaign_days.json	$.day_12.result_lines[1]	밸런스 기준: 2장 초반은 승급 1명, 3장은 승급 2~3명을 기대하도록 조정한다.
data/campaign_days.json	$.day_12.image_notes[0]	DAY 12 uses six dedicated promotion badge icons and six evolved portraits for UI feedback.
data/campaign_days.json	$.day_12.image_notes[1]	All six branching evolutions now provide dedicated idle, move, attack, skill, and down combat frames plus branch-specific VFX.
data/campaign_days.json	$.day_13.title	DAY 13 방패 든 조사대
data/campaign_days.json	$.day_13.summary	왕국이 첫 승급 기록을 보고 느리고 단단한 방패병을 섞어 보낸다. 두 번째 승급은 아직 자료가 부족해 보류한다.
data/campaign_days.json	$.day_13.management_hint	방패병은 느리지만 전열을 오래 붙잡는 역할 카운터입니다. 승급 1명과 감시초소/가시복도를 조합해 시간을 벌어야 합니다.
data/campaign_days.json	$.day_13.balance_goal	진화 계획표상 2장 초반은 승급 1명 유지다. DAY13은 두 번째 승급을 열지 않고, 신규 방패병으로 순수 전열 의존을 흔들되 세 승급 선택지 모두 클리어 가능해야 한다.
data/campaign_days.json	$.day_13.second_promotion_timing_decision	두 번째 승급은 DAY23 계획표까지 보류한다. DAY13~15는 첫 승급 1명 기준으로 적 역할 카운터와 시설 판단을 검증한다.
data/campaign_days.json	$.day_13.monster_plan[0].timing	방패병 대응
data/campaign_days.json	$.day_13.monster_plan[0].purpose	방패병을 막아 세우되 단독 장기전 의존은 위험하다는 기준선
data/campaign_days.json	$.day_13.monster_plan[1].timing	방패병 대응
data/campaign_days.json	$.day_13.monster_plan[1].purpose	느린 방패병 사이로 도둑을 끊는 추격 선택지
data/campaign_days.json	$.day_13.monster_plan[2].timing	방패병 대응
data/campaign_days.json	$.day_13.monster_plan[2].purpose	방패병 뒤 기본 적을 빠르게 정리하는 화력 선택지
data/campaign_days.json	$.day_13.cast[0].timing	관리 시작
data/campaign_days.json	$.day_13.cast[0].purpose	방패병 대응과 승급 제한 안내
data/campaign_days.json	$.day_13.cast[1].timing	전투 시작
data/campaign_days.json	$.day_13.cast[1].purpose	왕국이 첫 승급을 분석했다는 절차형 압박
data/campaign_days.json	$.day_13.enemy_plan[0].timing	0~9초
data/campaign_days.json	$.day_13.enemy_plan[0].purpose	방패병 전 기본 전열 확인
data/campaign_days.json	$.day_13.enemy_plan[1].timing	12초
data/campaign_days.json	$.day_13.enemy_plan[1].purpose	느리고 단단한 역할 카운터 신규 적
data/campaign_days.json	$.day_13.enemy_plan[2].timing	23초
data/campaign_days.json	$.day_13.enemy_plan[2].purpose	왕국 기록 압박 유지
data/campaign_days.json	$.day_13.enemy_plan[3].timing	37~45초
data/campaign_days.json	$.day_13.enemy_plan[3].purpose	방패병에 시선이 묶인 상태에서 보물 압박
data/campaign_days.json	$.day_13.management_lines[0]	바티: 왕국이 어제 승급 기록을 봤습니다. 오늘은 느리고 단단한 방패병을 붙여 전열을 오래 묶어둘 겁니다.
data/campaign_days.json	$.day_13.management_lines[1]	바티: 두 번째 승급은 아직 보류합니다. 자료가 부족한 상태에서 문어발 승급을 열면 전선 판단이 흐려집니다.
data/campaign_days.json	$.day_13.management_lines[2]	골딘: 느린 적이라고 방치하면 수리비가 길게 늘어납니다. 감시초소와 가시복도 사용을 권합니다.
data/campaign_days.json	$.day_13.combat_start_lines[0]	아이리스: 신규 대응 병과 투입. 방패병은 진입 속도보다 버티는 시간을 우선 기록하겠습니다.
data/campaign_days.json	$.day_13.result_lines[0]	신규 적 확인: 왕국 방패병은 느리고 단단한 전열 카운터다. (shieldbearer_class)
data/campaign_days.json	$.day_13.result_lines[1]	승급 기록: 두 번째 승급은 DAY23 계획까지 보류하고, 2장 초반은 승급 1명 기준으로 조정한다. (second_promotion_deferred)
data/campaign_days.json	$.day_13.image_notes[0]	DAY 13 adds a dedicated 왕국 방패병 combat sprite set: idle, move, attack, skill, down.
data/campaign_days.json	$.day_13.image_notes[1]	The sprite is a deterministic local asset generated for the existing 192px combat silhouette style.
data/campaign_days.json	$.day_14.title	DAY 14 성 업그레이드 심사
data/campaign_days.json	$.day_14.summary	골딘과 바티가 Stage 02 성 심사 비용을 계산한다. 오늘 목표는 외형 전환이 아니라 비용 마련과 보안 유지다.
data/campaign_days.json	$.day_14.management_hint	보물 방을 지키며 Stage 02 심사 비용을 확보하세요. 두 번째 승급은 아직 잠금이며, 실제 성 외형 전환은 DAY 15 이후로 보류합니다.
data/campaign_days.json	$.day_14.balance_goal	DAY14는 새 승급이나 새 적 없이 자원/보안 판단을 확인한다. 첫 승급 1명 기준으로 도둑 압박을 늘리고, 승리 시 Stage 02 심사 비용이 마련되어야 한다.
data/campaign_days.json	$.day_14.monster_plan[0].timing	심사 비용 방어
data/campaign_days.json	$.day_14.monster_plan[0].purpose	전열이 무너지면 보물 방으로 압박이 새는 기준선
data/campaign_days.json	$.day_14.monster_plan[1].timing	심사 비용 방어
data/campaign_days.json	$.day_14.monster_plan[1].purpose	도둑 2명 압박에서 보물 손실을 줄이는 추격 선택지
data/campaign_days.json	$.day_14.monster_plan[2].timing	심사 비용 방어
data/campaign_days.json	$.day_14.monster_plan[2].purpose	탐험가와 조사관을 빠르게 줄여 도둑 대응 시간을 만드는 화력 선택지
data/campaign_days.json	$.day_14.cast[0].timing	관리 시작
data/campaign_days.json	$.day_14.cast[0].purpose	Stage 02 심사 비용 계산
data/campaign_days.json	$.day_14.cast[1].timing	관리 시작
data/campaign_days.json	$.day_14.cast[1].purpose	DAY 15 승리 뒤 성 외형 전환과 보안 우선순위 안내
data/campaign_days.json	$.day_14.enemy_plan[0].timing	0~9초
data/campaign_days.json	$.day_14.enemy_plan[0].purpose	기본 전열 압박
data/campaign_days.json	$.day_14.enemy_plan[1].timing	16초
data/campaign_days.json	$.day_14.enemy_plan[1].purpose	심사 전 왕국 기록 압박
data/campaign_days.json	$.day_14.enemy_plan[2].timing	28초
data/campaign_days.json	$.day_14.enemy_plan[2].purpose	DAY13 방패병을 1회만 재사용해 전열 시간을 늘림
data/campaign_days.json	$.day_14.enemy_plan[3].timing	40~50초
data/campaign_days.json	$.day_14.enemy_plan[3].purpose	업그레이드 비용 보유 상태에서 보물 손실 압박
data/campaign_days.json	$.day_14.management_lines[0]	골딘: Stage 02 성 심사 비용은 금화 720, 악명 720으로 잡겠습니다. 보물 손실이 나면 바로 흔들립니다.
data/campaign_days.json	$.day_14.management_lines[1]	바티: 오늘은 성을 바꾸는 날이 아니라 심사 비용을 맞추는 날입니다. 실제 전환은 내일 셀렌의 점검을 통과한 직후입니다.
data/campaign_days.json	$.day_14.management_lines[2]	골딘: 도둑을 놓치면 회계 장부가 먼저 쓰러집니다. 보물 방 주변 방어를 확인하십시오.
data/campaign_days.json	$.day_14.combat_start_lines[0]	바티: 심사 전날의 침입은 늘 장부를 노립니다. 오늘 목표는 승리와 비용 보전입니다.
data/campaign_days.json	$.day_14.result_lines[0]	Stage 02 준비: 심사 비용을 지켰다. DAY 15 셀렌 점검을 통과하면 성 외형이 실제로 전환된다. (stage_two_transition_armed)
data/campaign_days.json	$.day_14.result_lines[1]	운영 기준: DAY14는 두 번째 승급 없이 첫 승급 1명과 시설 배치로 비용을 지키는 날이다. (stage_two_review_day)
data/campaign_days.json	$.day_14.image_notes[0]	No new raster art was generated for DAY 14.
data/campaign_days.json	$.day_14.image_notes[1]	Stage 02 uses the approved v3 runtime props already present in the project after DAY 15 victory.
data/campaign_days.json	$.day_15.title	DAY 15 성기사 견습 셀렌
